n,orden,familia,especie,nombre_comun,s,b,migratoria
1,Tinamiformes,Tinamidae,Crypturellus tataupa,Tataupá,1,0,0
2,Gruiformes,Rallidae,Aramides cajaneus,Chiricoe,1,1,0
3,Gruiformes,Rallidae,Aramides ypecaa,Ypaka'a,1,1,0
4,Suliformes,Phalacrocoracidae,Nannopterum brasilianum,Mbiguá,1,0,0
5,Pelecaniformes,Ardeidae,Ardea alba,Garza blanca,1,0,0
6,Pelecaniformes,Ardeidae,Ardea cocoi,Garza mora,1,0,0
7,Pelecaniformes,Ardeidae,Butorides striata,Garcita azulada,1,0,0
8,Pelecaniformes,Ardeidae,Syrigma sibilatrix,Flauta de sol,1,0,0
9,Pelecaniformes,Threskiornithidae,Phimosus infuscatus,Cuervillo cara pelada,1,0,0
10,Cathartiformes,Cathartidae,Cathartes aura,Buitre cabeza roja,1,1,0
11,Cathartiformes,Cathartidae,Coragyps atratus,Buitre cabeza negra,1,1,0
12,Accipitriformes,Accipitridae,Rupornis magnirostris,Taguató,1,1,0
13,Accipitriformes,Accipitridae,Busarellus nigricollis,Gavilán de estero,1,0,0
14,Accipitriformes,Accipitridae,Rostrhamus sociabilis,Caracolero,1,0,0
15,Falconiformes,Accipitridae,Daptrius chimachima,Chimachima,1,0,0
16,Falconiformes,Falconidae,Caracara plancus,Carancho,1,1,0
17,Falconiformes,Falconidae,Falco sparverius,Halconcito colorado,1,0,0
18,Charadriiformes,Charadriidae,Vanellus chilensis,Tero tero,1,1,0
19,Charadriiformes,Jacanidae,Jacana jacana,Jacana,1,1,0
20,Columbiformes,Columbidae,Columbina talpacoti,Tortolita colorada,1,0,0
21,Columbiformes,Columbidae,Columbina picui,Tortolita picui,1,0,0
22,Columbiformes,Columbidae,Columba squammata,Tortolita escamada,1,0,0
23,Columbiformes,Columbidae,Leptotila verreauxi,Yerutí,1,0,0
24,Columbiformes,Columbidae,Patagioenas picazuro,Picazuró,1,0,0
25,Psittaciformes,Psittacidae,Myopsitta monachus,Cotorrita,1,1,0
26,Psittaciformes,Psittacidae,Amazona aestiva,Loro hablador,1,1,0
27,Psittaciformes,Psittacidae,Aratinga nenday,Nanday,1,1,0
28,Psittaciformes,Psittacidae,Thectocercus acuticaudatus,Maracaná ceja amarilla,1,0,0
29,Psittaciformes,Psittacidae,Forpus xanthopterygius,Catí ta viuda,1,0,0
30,Cuculiformes,Cuculidae,Guira guira,Piririta,1,1,0
31,Cuculiformes,Cuculidae,Crotophaga ani,Anó,1,0,0
32,Cuculiformes,Cuculidae,Tapera naevia,Chochí,1,0,0
33,Cuculiformes,Cuculidae,Coccyzus americanus,Cuclillo alas rojizas,1,0,1
34,Apodiformes,Trochilidae,Chlorostilbon lucidus,Picaflor verde,1,0,0
35,Apodiformes,Trochilidae,Hylochelris chyrsura,Picaflor bronceado,1,0,0
36,Piciformes,Picidae,Colaptes campestris,Carpintero campestre,1,1,0
