tipo,especie,nombre_comun,resumen,reino,filo,clase,orden,familia,genero,paises,imagen_local
ave,Crypturellus tataupa,Tataupá,,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,"BR, AR, PY, PE, BO, EC, GF, US",/static/especies/crypturellus_tataupa/image.jpg
ave,Aramides cajaneus,Chiricoe,,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,"CO, BR, CR, AR, PA, PE, VE, UY, BO, EC, PY, TT, GY, MX, GF, SR, GT, HN, BZ, NI",/static/especies/aramides_cajaneus/image.jpg
ave,Aramides ypecaa,Ypaka'a,,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,"AR, UY, BR, PY, BO, US, CA, ES, NL, DE, GB, ZZ",
ave,Nannopterum brasilianum,Mbiguá,,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,"US, CL, AR, MX, BR, CO, CR, PE, PA, BZ, UY, EC, VE, GT, HN, PY, CU, NI, BO, SV",/static/especies/nannopterum_brasilianum/image.jpg
ave,Ardea alba,Garza blanca,,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,"US, NL, AU, FR, TW, IN, CA, MX, DE, SE, BE, DK, BR, CO, ES, CR, AR, GB, IT, CL",/static/especies/ardea_alba/image.jpg
ave,Ardea cocoi,Garza mora,,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,"BR, AR, CO, CL, PE, EC, UY, PA, PY, BO, VE, GY, SR, TT, GF, FK, CW, ZZ, NG, VC",/static/especies/ardea_cocoi/image.jpg
ave,Butorides striata,Garcita azulada,,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,"BR, CO, AU, ZA, IN, EC, PE, AR, TH, TW, SG, MY, VE, PA, PH, ID, KE, TT, AE, PY",/static/especies/butorides_striata/image.jpg
ave,Syrigma sibilatrix,Flauta de sol,,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Syrigma,"AR, BR, CO, UY, PY, VE, BO, PA, EC, CW, AW, CL, DE, BQ, PE, TT, BZ, ZZ, CR, MX",/static/especies/syrigma_sibilatrix/image.jpg
ave,Phimosus infuscatus,Cuervillo cara pelada,,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,"CO, BR, AR, VE, UY, PY, BO, EC, PA, PE, GF, US, CL, ZZ, CR, NG",/static/especies/phimosus_infuscatus/image.jpg
ave,Cathartes aura,Buitre cabeza roja,,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,"US, CA, MX, CR, CO, PA, CL, BR, BZ, EC, PE, AR, HN, CU, GT, SV, VE, PR, NI, JM",/static/especies/cathartes_aura/image.jpg
ave,Coragyps atratus,Buitre cabeza negra,,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,"US, CR, CO, BR, MX, PA, EC, VE, PE, BZ, AR, CL, HN, GT, NI, SV, TT, PY, BO, GY",/static/especies/coragyps_atratus/image.jpg
ave,Rupornis magnirostris,Taguató,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rupornis,"CO, BR, CR, AR, MX, EC, BZ, PE, PA, VE, GT, HN, UY, BO, PY, NI, SV, GY, US, SR",/static/especies/rupornis_magnirostris/image.jpg
ave,Busarellus nigricollis,Gavilán de estero,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Busarellus,"BR, CO, PE, CR, AR, BZ, VE, BO, MX, GY, PY, PA, SR, GT, GF, NI, EC, HN, SV, UY",/static/especies/busarellus_nigricollis/image.jpg
ave,Rostrhamus sociabilis,Caracolero,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,"US, AR, BR, CO, MX, BZ, EC, PA, CR, PY, HN, PE, UY, GY, GT, CU, BO, SR, VE, SV",/static/especies/rostrhamus_sociabilis/image.jpg
ave,Daptrius chimachima,Chimachima,,Animalia,Chordata,Aves,Falconiformes,Falconidae,Daptrius,"AR, CL, CO, BR, CR, PA, PE, EC, VE, UY, BO, PY, TT, GY, FK, SR, US, GF, NI, AW",/static/especies/daptrius_chimachima/image.jpg
ave,Caracara plancus,Carancho,,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,"US, AR, BR, CR, MX, CO, CL, UY, VE, PA, HN, PY, BO, CU, CW, NI, PE, GT, BQ, EC",/static/especies/caracara_plancus/image.jpg
ave,Falco sparverius,Halconcito colorado,,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,"US, CA, MX, AR, CL, CO, PE, BR, PR, CU, EC, BS, UY, DO, JM, HN, PA, BZ, VE, BO",/static/especies/falco_sparverius/image.jpg
ave,Vanellus chilensis,Tero tero,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,"AR, BR, CL, CO, CR, PA, UY, VE, PY, EC, BO, TT, PE, GY, CW, AW, NI, BQ, US, HN",/static/especies/vanellus_chilensis/image.jpg
ave,Jacana jacana,Jacana,,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,"BR, CO, AR, PA, PE, VE, PY, EC, UY, BO, TT, GY, SR, GF, CR, CW, GD, BQ, US, CL",/static/especies/jacana_jacana/image.jpg
ave,Columbina talpacoti,Tortolita colorada,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,"BR, CO, CR, MX, PA, BZ, VE, HN, SV, NI, TT, GT, AR, PE, PY, US, EC, BO, GY, SR",/static/especies/columbina_talpacoti/image.jpg
ave,Columbina picui,Tortolita picui,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,"AR, CL, BR, UY, PY, BO, PE, US, ZZ, TZ",/static/especies/columbina_picui/image.jpg
ave,Columba squammata,Tortolita escamada,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,,
ave,Leptotila verreauxi,Yerutí,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,"CR, CO, US, BR, MX, AR, PA, BZ, GT, EC, VE, PE, HN, PY, UY, NI, TT, SV, BO, CW",/static/especies/leptotila_verreauxi/image.jpg
ave,Patagioenas picazuro,Picazuró,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,"BR, AR, UY, PY, BO, CL, ZZ, PE",/static/especies/patagioenas_picazuro/image.jpg
ave,Myopsitta monachus,Cotorrita,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,FI,/static/especies/myopsitta_monachus/image.jpg
ave,Amazona aestiva,Loro hablador,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,"BR, AR, PY, BO, PR, US, ZZ, UY, IT, ES, DE, MX, CL, GB, NL, GR, SR, BE, CA, DK",/static/especies/amazona_aestiva/image.jpg
